lat,lon,date,confirmed,recovered,death
36.8508,-76.2859,3/12/20,0,0,0
38.8816,-77.09100000000000,3/12/20,0,0,0
38.2042,-77.6078,3/12/20,0,0,0
39.0768,-77.6536,3/12/20,0,0,0
38.7849,-76.8721,3/12/20,0,0,0
41.3912,-95.4778,3/12/20,0,0,0
34.2465,-80.607,3/12/20,0,0,0
32.0575,-111.6661,3/12/20,0,0,0
41.4277,-85.355,3/12/20,0,0,0
39.8522,-77.2865,3/12/20,0,0,0
40.0106,-86.4997,3/12/20,0,0,0
43.0186,-89.5498,3/12/20,0,0,0
44.7509,-92.3814,3/12/20,0,0,0
41.4339,-81.6758,3/12/20,0,0,0
41.2603,-111.9522,3/12/20,0,0,0
43.0279,-73.135,3/12/20,0,0,0
44.8254,-93.7842,3/12/20,0,0,0
26.8946,-81.9098,3/12/20,0,0,0
34.2515,-84.4803,3/12/20,0,0,0
33.1795,-96.493,3/12/20,0,0,0
38.1938,-85.6435,3/12/20,0,0,0
29.6499,-90.1121,3/12/20,0,0,0
40.7909,-121.8474,3/12/20,0,0,0
34.8606,-81.9535,3/12/20,0,0,0
38.4333,-84.3542,3/12/20,0,0,0
41.6699,-91.5984,3/12/20,0,0,0
42.3118,-73.1822,3/12/20,0,0,0
36.1343,-86.822,3/12/20,0,0,0
43.1261,-123.2492,3/12/20,0,0,0
36.9859,-119.2321,3/12/20,0,0,0
39.5839,-76.3637,3/12/20,0,0,0
39.8065,-86.5401,3/12/20,0,0,0
40.7453,-74.0535,3/12/20,0,0,0
38.8454,-94.8521,3/12/20,0,0,0
47.175,-120.9319,3/12/20,0,0,0
27.4799,-82.3452,3/12/20,0,0,0
44.8446,-122.5927,3/12/20,0,0,0
30.5773,-86.6611,3/12/20,0,0,0
34.0132,-85.1479,3/12/20,0,0,0
33.9533,-117.3961,3/12/20,0,0,0
35.1269,-89.9253,3/12/20,0,0,0
38.6103,-90.4125,3/12/20,0,0,0
40.9849,-72.6151,3/12/20,0,0,0
41.8586,-74.3118,3/12/20,0,0,0
29.028000000000000,-81.0755,3/12/20,0,0,0
38.9085,-77.2405,3/12/20,0,0,0
42.9931,-71.0498,3/12/20,0,0,0
38.9072,-77.0369,3/12/20,0,0,0
40.229,-75.3879,3/12/20,0,0,0
37.6017,-121.7195,3/12/20,0,0,0
26.1901,-80.3659,3/12/20,0,0,0
26.663,-81.9535,3/12/20,0,0,0
32.8162,-111.2845,3/12/20,0,0,0
41.1489,-73.983,3/12/20,0,0,0
43.0324,-73.936,3/12/20,0,0,0
32.7957,-79.7848,3/12/20,0,0,0
45.7466,-122.5194,3/12/20,0,0,0
33.8999,-84.5641,3/12/20,0,0,0
40.9629,-112.0953,3/12/20,0,0,0
38.9108,-104.4723,3/12/20,0,0,0
21.307,-157.8584,3/12/20,0,0,0
42.3345,-122.7647,3/12/20,0,0,0
47.7425,-123.304,3/12/20,0,0,0
34.3672,-80.5883,3/12/20,0,0,0
42.6953,-121.6142,3/12/20,0,0,0
37.2519,-119.6963,3/12/20,0,0,0
47.0676,-122.1295,3/12/20,0,0,0
36.1593,-95.941,3/12/20,0,0,0
39.2587,-104.9389,3/12/20,0,0,0
41.8882,-71.4774,3/12/20,0,0,0
35.7211,-79.1781,3/12/20,0,0,0
39.9078,-75.3879,3/12/20,0,0,0
41.3148,-96.1951,3/12/20,0,0,0
38.0606,-84.4803,3/12/20,0,0,0
39.8362,-86.1752,3/12/20,0,0,0
42.4672,-71.2874,3/12/20,0,0,0
40.6546,-73.5594,3/12/20,0,0,0
44.9964,-93.0616,3/12/20,0,0,0
40.5608,-119.6035,3/12/20,0,0,0
41.6739,-75.2479,3/12/20,0,0,0
38.7646,-121.9018,3/12/20,0,0,0
37.3541,-121.9552,3/12/20,0,0,0
36.0796,-115.094,3/12/20,0,0,0
29.5693,-95.8143,3/12/20,0,0,0
47.1981,-119.3732,3/12/20,0,0,0
30.769000000000000,-86.9824,3/12/20,0,0,0
35.9179,-86.8622,3/12/20,0,0,0
40.7128,-74.006,3/12/20,0,0,0
39.1547,-77.2405,3/12/20,0,0,0
42.3601,-71.0589,3/12/20,0,0,0
39.7392,-104.9903,3/12/20,0,0,0
39.5912,-106.064,3/12/20,0,0,0
40.9263,-74.077,3/12/20,0,0,0
29.7752,-95.3103,3/12/20,0,0,0
37.7749,-122.4194,3/12/20,0,0,0
37.8534,-121.9018,3/12/20,0,0,0
33.7879,-117.8531,3/12/20,0,0,0
42.1767,-71.1449,3/12/20,0,0,0
33.2918,-112.4291,3/12/20,0,0,0
35.8032,-78.5661,3/12/20,0,0,0
41.122,-73.7949,3/12/20,0,0,0
43.9088,-71.82600000000000,3/12/20,0,0,0
27.9904,-82.3018,3/12/20,0,0,0
39.0916,-120.8039,3/12/20,0,0,0
37.563,-122.3255,3/12/20,0,0,0
38.578,-122.9888,3/12/20,0,0,0
45.775,-118.7606,3/12/20,0,0,0
